,0,1,2,3,4
0,0.8428571428571429,0.38834951456310685,0.24096385542168675,1.0,4
1,0.6701009251471826,0.0,0.5857142857142857,1.0,2
2,0.45313123254886317,0.2967741935483871,0.17424242424242425,1.0,2
3,0.35317460317460314,0.0,0.7941176470588235,1.0,2
4,0.25898078529657476,0.42424242424242425,0.2692307692307692,1.0,2
5,0.6585714285714286,0.5333333333333333,0.36363636363636365,1.0,2
6,0.3913043478260869,0.41025641025641024,0.25806451612903225,0.25,2
7,0.43841642228739003,0.32116788321167883,0.19130434782608696,1.0,3
8,0.7424986361156573,0.30588235294117644,0.2934131736526946,1.0,2
9,0.011682721869235501,0.40796019900497504,0.25625,1.0,2
10,0.6843434343434344,0.44000000000000006,0.28205128205128205,1.0,3
11,0.8555555555555556,0.3157894736842105,0.6904761904761905,0.125,2
12,0.7075,0.746031746031746,0.68,1.0,2
13,0.9263157894736842,0.38775510204081637,0.24050632911392406,1.0,2
14,0.5693277310924371,0.0,0.7814569536423841,0.125,3
