,0,1,2
0,0.828,0.476,0.470
1,0.687,0.647,0.564
2,0.499,0.292,0.227
3,0.827,0.571,0.455
4,0.376,0.321,0.191
5,0.659,0.278,0.192
6,0.059,0.154,0.106
7,0.717,0.550,0.571
8,0.688,0.776,0.660
9,0.571,0.341,0.232
