,0
0,0.8579365079365079
1,0.6982758620689655
2,0.5149581172716394
3,0.42261904761904756
4,0.5338345864661654
5,0.71
6,0.46297554347826086
7,0.47653958944281527
8,0.7414075286415711
9,0.059438409510145535
10,0.7380952380952381
11,0.8722222222222223
12,0.7308333333333333
13,0.9254385964912281
14,0.4994747899159664
