,0,1,2
0,0.847,0.576,0.699
1,0.686,0.638,0.579
2,0.525,0.303,0.235
3,0.775,0.576,0.464
4,0.274,0.321,0.191
5,0.744,0.350,0.443
6,0.997,0.412,0.269
7,0.719,0.667,0.714
8,0.707,0.803,0.730
9,0.523,0.347,0.252
