,0
0,0.9920634920634921
1,0.9904761904761904
2,0.9912698412698413
3,0.9928571428571428
4,0.9904761904761905
5,0.8931875525651808
6,0.8898233809924306
7,0.8938183347350714
8,0.8944491169049622
9,0.8969722455845248
10,0.6170721978460312
11,0.7048264858396489
12,0.6637415237335461
13,0.6150777822098126
14,0.5867570801755086
15,0.9229497354497355
16,0.908068783068783
17,0.9203042328042329
18,0.9272486772486772
19,0.923941798941799
20,0.531328320802005
21,0.5355054302422724
22,0.5388471177944862
23,0.5246449456975772
24,0.5154553049289892
25,0.8132142857142858
26,0.7303571428571428
27,0.6935714285714286
28,0.7721428571428571
29,0.7292857142857143
30,0.9755434782608695
31,1.0
32,0.9976222826086957
33,0.9911684782608696
34,0.9979619565217391
35,0.8743890518084066
36,0.8782991202346041
37,0.8704789833822092
38,0.873900293255132
39,0.8866080156402738
40,0.6745771958537916
41,0.7302236770321876
42,0.7250409165302782
43,0.6584833606110202
44,0.731860338243317
45,0.7146956343513016
46,0.8087722894035664
47,0.7634761221561797
48,0.8120516499282641
49,0.7397007583521213
50,0.9476911976911977
51,0.9458874458874459
52,0.9462481962481963
53,0.9491341991341993
54,0.9502164502164502
55,0.8194444444444444
56,0.8194444444444444
57,0.8111111111111111
58,0.8194444444444444
59,0.8222222222222222
60,0.8424999999999999
61,0.8466666666666666
62,0.8458333333333333
63,0.85125
64,0.8666666666666668
65,0.9833333333333333
66,0.986842105263158
67,0.987719298245614
68,0.9842105263157894
69,0.9859649122807018
70,0.7854516806722689
71,0.7980567226890757
72,0.7983193277310925
73,0.7899159663865546
74,0.8261554621848739
