,ROCAUC,F値,Accuracy,,,ROCAUC,F値,Accuracy,,,ROCAUC,F値,Accuracy,,,ROCAUC,F値,Accuracy,,,,,,,,,,,,,
,,,,,zipper,0.867,0.577,0.728,,screw,0.853,0.5,0.813,,screw,0.369,0.359,0.263,,screw,,,,,0.853,0.500,0.813,screw,0.369,0.359,0.263
,,,,,,,,,,tile,0.97,0.877,0.923,,tile,0.94,0.805,0.863,,tile,,,,,0.957,0.838,0.897,tile,0.94,0.805,0.863
,,,,,avg,0.873,0.579,0.761,,toothbrush,0.881,0.526,0.786,,toothbrush,0.819,0.645,0.738,,toothbrush,,,,,0.881,0.526,0.786,toothbrush,0.819,0.645,0.738
,,,,,CNN+SVDD(異常データ）,,,,,transistor,0.892,0.765,0.76,,transistor,0.839,0.849,0.79,,transistor,,,,,0.891,0.765,0.760,transistor,0.839,0.849,0.79
,,,,,,,,,,wood,0.996,0.882,0.949,,wood,0.975,0.857,0.924,,wood,,,,,0.992,0.919,0.962,wood,0.975,0.857,0.924
,,,,,,,,,,zipper,0.864,0.56,0.728,,zipper,0.831,0.484,0.576,,zipper,,,,,,,,zipper,,,
,,,,,,,,,,avg,0.875,0.611,0.782,,avg,0.811,0.619,0.667,,avg,0.865,0.587,0.775,,0.884,0.668,0.795,avg,0.805,0.649,0.672
,,,,,,,,,,マスク,,,,,CNN+SVDD,,,,,ノイズ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,疑似異常データ（VAE）,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0.990,0.923,0.964,bottle,0.989,0.923,0.964
,,,,,,ROCAUC,F値,Accuracy,,,,,,,,,,,,,,,,,0.931,0.780,0.843,cable,0.896,0.754,0.757
,,,,,bottle,0.851,0.588,0.663,,,,,,,,,,,,,,,,,0.741,0.404,0.553,capsule,0.714,0.356,0.424
,,,,,cable,0.694,0.659,0.593,,,,,,,,,,,,,,,,,0.875,0.552,0.809,carpet,0.876,0.533,0.794
,,,,,capsule,0.532,0.297,0.212,,,,,,,,,,,,,,,,,0.527,0.406,0.513,grid,0.490,0.400,0.346
,,,,,carpet,0.448,0.341,0.206,,,,,,,,,,,,,,,,,0.913,0.392,0.718,hazelnut,0.799,0.621,0.600
,,,,,grid,0.440,0.424,0.269,,,,,,,,,,,,,,,,,0.990,0.821,0.919,leather,0.989,0.828,0.919
,,,,,hazelnut,0.702,0.584,0.482,,,,,,,,,,,,,,,,,0.936,0.651,0.870,metal_nut,0.933,0.587,0.730
,,,,,leather,0.443,0.000,0.556,,,,,,,,,,,,,,,,,0.718,0.360,0.575,pill,0.708,0.289,0.323
,,,,,metal_nut,0.459,0.303,0.200,,,,,,,,,,,,,,,,,0.853,0.500,0.813,screw,0.369,0.359,0.263
,,,,,pill,0.743,0.356,0.437,,,,,,,,,,,,,,,,,0.957,0.838,0.897,tile,0.940,0.805,0.863
,,,,,screw,0.062,0.195,0.125,,,,,,,,,,,,,,,,,0.881,0.526,0.786,toothbrush,0.819,0.645,0.738
,,,,,tile,0.741,0.463,0.385,,,,,,,,,,,,,,,,,0.891,0.765,0.760,transistor,0.839,0.849,0.790
,,,,,toothbrush,0.883,0.733,0.810,,,,,,,,,,,,,,,,,0.992,0.919,0.962,wood,0.975,0.857,0.924
,,,,,transistor,0.709,0.800,0.710,,,,,,,,,,,,,,,,,0.867,0.577,0.728,zipper,0.831,0.484,0.576
,,,,,wood,0.921,0.463,0.443,,,,,,,,,,,,,,,,,0.871,0.628,0.781,avg,0.811,0.619,0.667
,,,,,zipper,0.521,0.353,0.272,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,avg,0.616,0.487,0.450,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,avg_all,0.61,0.437,0.424,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,SVDD,,,,,,,,,,,,,,,,,,,,,,,,,,
